experiment,strategy,start_date,end_date,trading_days,net_final_nav,gross_final_nav_same_path,net_total_return,gross_total_return_same_path,cost_drag_return,total_transaction_cost,gross_annualized_return_same_path,gross_annualized_volatility_same_path,gross_annualized_sharpe_same_path,method
weekly,multi_equal_3,2020-01-02,2025-12-31,1455,3053800.2646652013,3744916.1550034117,2.053800264665201,2.744916155003412,0.6911158903382104,691115.8903382106,0.24559433384908536,0.20392268113755485,1.180041803541762,same executed quantities; fees added back as non-invested cash
weekly,single_amihud_illiquidity_20,2020-01-02,2025-12-31,1455,546205.9152169384,612568.7350303379,-0.4537940847830616,-0.38743126496966207,0.06636281981339957,66362.81981339952,-0.07828013579321391,0.2589336860025571,-0.18368747178511252,same executed quantities; fees added back as non-invested cash
weekly,single_low_volatility_20,2020-01-02,2025-12-31,1455,943440.7837104528,1124923.9688007669,-0.05655921628954719,0.12492396880076684,0.18148318509031403,181483.1850903139,0.019771711137410497,0.12131392928613802,0.22243576751506094,same executed quantities; fees added back as non-invested cash
weekly,single_reversal_5,2020-01-02,2025-12-31,1455,74789.80246449186,189307.89760671905,-0.9252101975355081,-0.8106921023932809,0.11451809514222719,114518.09514222719,-0.24181267874269552,0.20169862585763884,-1.2701462663729914,same executed quantities; fees added back as non-invested cash
monthly,multi_equal_3,2020-01-02,2025-12-31,1455,4483418.862634758,4716707.237431722,3.4834188626347586,3.716707237431722,0.2332883747969633,233288.37479696347,0.29432000124897106,0.21809120807602586,1.2931288799496277,same executed quantities; fees added back as non-invested cash
monthly,single_amihud_illiquidity_20,2020-01-02,2025-12-31,1455,2106461.2064944096,2190876.4627025854,1.1064612064944095,1.1908764627025854,0.08441525620817579,84415.25620817578,0.13933803917660859,0.2541580194525797,0.6413682817667107,same executed quantities; fees added back as non-invested cash
monthly,single_low_volatility_20,2020-01-02,2025-12-31,1455,1651721.3876767505,1759760.4617130875,0.6517213876767505,0.7597604617130875,0.10803907403633697,108039.07403633707,0.09856201328197978,0.13175718210915593,0.7794030121731932,same executed quantities; fees added back as non-invested cash
monthly,single_reversal_5,2020-01-02,2025-12-31,1455,236621.27144050354,282989.8176605006,-0.7633787285594964,-0.7170101823394994,0.04636854621999705,46368.546219997035,-0.1893808427795901,0.2805825681811265,-0.606422368644457,same executed quantities; fees added back as non-invested cash
risk_extension,monthly_equal,2020-01-02,2025-12-31,1455,4483418.862634758,4716707.237431722,3.4834188626347586,3.716707237431722,0.2332883747969633,233288.37479696347,0.29432000124897106,0.21809120807602586,1.2931288799496277,same executed quantities; fees added back as non-invested cash
risk_extension,monthly_risk_parity,2020-01-02,2025-12-31,1455,4160137.453956485,4387729.816850784,3.1601374539564846,3.3877298168507846,0.22759236289429943,227592.36289429938,0.2788490304021789,0.21178014376251966,1.268372451911787,same executed quantities; fees added back as non-invested cash
risk_extension,monthly_risk_parity_cap_08,2020-01-02,2025-12-31,1455,4167365.51591538,4394706.030250909,3.16736551591538,3.3947060302509087,0.22734051433552896,227340.514335529,0.27918698930220875,0.21197179073837497,1.2686674364561403,same executed quantities; fees added back as non-invested cash
risk_extension,monthly_risk_parity_cap_08_vol_15,2020-01-02,2025-12-31,1455,3600957.260718304,3780249.1786586074,2.600957260718304,2.7802491786586074,0.17929191794030322,179291.91794030328,0.24754133472085726,0.175511360430902,1.3487152470039976,same executed quantities; fees added back as non-invested cash
risk_extension,monthly_vol_target_10,2020-01-02,2025-12-31,1455,2646691.8113115677,2756069.214552933,1.6466918113115678,1.7560692145529329,0.10937740324136522,109377.40324136519,0.1836693012477244,0.12782373058451535,1.3835421265488885,same executed quantities; fees added back as non-invested cash
risk_extension,monthly_vol_target_15,2020-01-02,2025-12-31,1455,3685290.7219340904,3861555.008588346,2.6852907219340905,2.861555008588346,0.1762642866542558,176264.28665425564,0.25196465382755906,0.1742318250227286,1.3776181957605458,same executed quantities; fees added back as non-invested cash
risk_extension,monthly_vol_target_20,2020-01-02,2025-12-31,1455,4178564.933216901,4386758.089216992,3.178564933216901,3.3867580892169924,0.20819315600009122,208193.15600009123,0.2788019200421983,0.19761820124458462,1.344289956183391,same executed quantities; fees added back as non-invested cash
