rebalance_date,formation_date,strategy,selected_assets,assets_with_sufficient_history,forecast_annual_volatility,target_equity_exposure,target_cash_weight,maximum_target_weight,erc_solver_success,erc_max_risk_contribution_error,history_last_date
2020-02-03,2020-01-23,monthly_equal,20,20,0.15179451167397837,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2020-01-23
2020-02-03,2020-01-23,monthly_risk_parity,20,20,0.13422269362932976,1.0,0.0,0.09842126250168118,True,1.693983054315562e-07,2020-01-23
2020-02-03,2020-01-23,monthly_risk_parity_cap_08,20,20,0.1358286507456862,1.0,0.0,0.08,True,0.012935571739794156,2020-01-23
2020-02-03,2020-01-23,monthly_vol_target_10,20,20,0.15179451167397837,0.65878534669803,0.34121465330197,0.032939267334901504,False,,2020-01-23
2020-02-03,2020-01-23,monthly_vol_target_15,20,20,0.15179451167397837,0.9881780200470451,0.011821979952954864,0.04940890100235225,False,,2020-01-23
2020-02-03,2020-01-23,monthly_vol_target_20,20,20,0.15179451167397837,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2020-01-23
2020-02-03,2020-01-23,monthly_risk_parity_cap_08_vol_15,20,20,0.1358286507456862,1.0,0.0,0.08,True,0.012935571739794156,2020-01-23
2020-03-02,2020-02-28,monthly_equal,20,20,0.2634796127690282,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2020-02-28
2020-03-02,2020-02-28,monthly_risk_parity,20,20,0.255895425468916,1.0,0.0,0.08003705942406475,True,1.5952788005174634e-07,2020-02-28
2020-03-02,2020-02-28,monthly_risk_parity_cap_08,20,20,0.25589936100157745,1.0000000000000002,-2.220446049250313e-16,0.08000000000000002,True,2.51767833439262e-05,2020-02-28
2020-03-02,2020-02-28,monthly_vol_target_10,20,20,0.2634796127690282,0.3795360064069251,0.6204639935930749,0.01897680032034625,False,,2020-02-28
2020-03-02,2020-02-28,monthly_vol_target_15,20,20,0.2634796127690282,0.5693040096103874,0.4306959903896126,0.02846520048051937,False,,2020-02-28
2020-03-02,2020-02-28,monthly_vol_target_20,20,20,0.2634796127690282,0.7590720128138502,0.24092798718614983,0.0379536006406925,False,,2020-02-28
2020-03-02,2020-02-28,monthly_risk_parity_cap_08_vol_15,20,20,0.25589936100157745,0.5861679349761072,0.4138320650238928,0.04689343479808858,True,2.51767833439262e-05,2020-02-28
2020-04-01,2020-03-31,monthly_equal,20,20,0.29452167215449376,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2020-03-31
2020-04-01,2020-03-31,monthly_risk_parity,20,20,0.2861622330968855,1.0,0.0,0.06266776847933762,True,8.134563485306945e-08,2020-03-31
2020-04-01,2020-03-31,monthly_risk_parity_cap_08,20,20,0.2861622330968855,1.0,0.0,0.06266776847933762,True,8.134563485306945e-08,2020-03-31
2020-04-01,2020-03-31,monthly_vol_target_10,20,20,0.29452167215449376,0.3395335876931468,0.6604664123068532,0.016976679384657335,False,,2020-03-31
2020-04-01,2020-03-31,monthly_vol_target_15,20,20,0.29452167215449376,0.50930038153972,0.49069961846028,0.025465019076986003,False,,2020-03-31
2020-04-01,2020-03-31,monthly_vol_target_20,20,20,0.29452167215449376,0.6790671753862936,0.3209328246137064,0.03395335876931467,False,,2020-03-31
2020-04-01,2020-03-31,monthly_risk_parity_cap_08_vol_15,20,20,0.2861622330968855,0.5241781851388291,0.4758218148611709,0.03284907714819951,True,8.134563485306945e-08,2020-03-31
2020-05-06,2020-04-30,monthly_equal,20,20,0.22682182856371322,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2020-04-30
2020-05-06,2020-04-30,monthly_risk_parity,20,20,0.21475368427015745,1.0000000000000002,-2.220446049250313e-16,0.07950935681599863,True,9.030962148243171e-08,2020-04-30
2020-05-06,2020-04-30,monthly_risk_parity_cap_08,20,20,0.2147537152408756,1.0,0.0,0.07950932436373494,True,3.531224247940723e-07,2020-04-30
2020-05-06,2020-04-30,monthly_vol_target_10,20,20,0.22682182856371322,0.440874675216325,0.5591253247836749,0.02204373376081625,False,,2020-04-30
2020-05-06,2020-04-30,monthly_vol_target_15,20,20,0.22682182856371322,0.6613120128244873,0.33868798717551274,0.03306560064122437,False,,2020-04-30
2020-05-06,2020-04-30,monthly_vol_target_20,20,20,0.22682182856371322,0.88174935043265,0.11825064956734999,0.0440874675216325,False,,2020-04-30
2020-05-06,2020-04-30,monthly_risk_parity_cap_08_vol_15,20,20,0.2147537152408756,0.6984745285163263,0.3015254714836737,0.05553523784761141,True,3.531224247940723e-07,2020-04-30
2020-06-01,2020-05-29,monthly_equal,20,20,0.18609460093126437,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2020-05-29
2020-06-01,2020-05-29,monthly_risk_parity,20,20,0.17971165126827876,0.9999999999999998,2.220446049250313e-16,0.07225001524904245,True,6.070143371977865e-08,2020-05-29
2020-06-01,2020-05-29,monthly_risk_parity_cap_08,20,20,0.17971165126827876,0.9999999999999998,2.220446049250313e-16,0.07225001524904245,True,6.070143371977865e-08,2020-05-29
2020-06-01,2020-05-29,monthly_vol_target_10,20,20,0.18609460093126437,0.5373611028991424,0.4626388971008576,0.02686805514495712,False,,2020-05-29
2020-06-01,2020-05-29,monthly_vol_target_15,20,20,0.18609460093126437,0.8060416543487134,0.19395834565128656,0.04030208271743568,False,,2020-05-29
2020-06-01,2020-05-29,monthly_vol_target_20,20,20,0.18609460093126437,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2020-05-29
2020-06-01,2020-05-29,monthly_risk_parity_cap_08_vol_15,20,20,0.17971165126827876,0.8346704230994774,0.16532957690052263,0.060304950796861975,True,6.070143371977865e-08,2020-05-29
2020-07-01,2020-06-30,monthly_equal,20,20,0.11012511164018947,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2020-06-30
2020-07-01,2020-06-30,monthly_risk_parity,20,20,0.0978763292151953,1.0,0.0,0.08002373524081946,True,1.4293437081147609e-07,2020-06-30
2020-07-01,2020-06-30,monthly_risk_parity_cap_08,20,20,0.0978770184762535,0.9999999999999999,1.1102230246251565e-16,0.07999999999999999,True,2.6019571985426426e-05,2020-06-30
2020-07-01,2020-06-30,monthly_vol_target_10,20,20,0.11012511164018947,0.9080581032846431,0.09194189671535691,0.04540290516423215,False,,2020-06-30
2020-07-01,2020-06-30,monthly_vol_target_15,20,20,0.11012511164018947,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2020-06-30
