metric,weekly,monthly,monthly_minus_weekly,monthly_over_weekly
total_return,2.053800264665201,3.4834188626347586,1.4296185979695575,1.696084532934173
annualized_return,0.2040379052566319,0.2834460913998711,0.07940818614323919,1.3891835002097395
annualized_volatility,0.23925376230010748,0.227093325981922,-0.012160436318185475,0.9491734792327652
annualized_sharpe,0.8968753704424107,1.213604422609062,0.31672905216665137,1.3531472293752644
max_drawdown,0.4020520613018158,0.30035169758689395,-0.10170036371492186,0.7470467795000892
total_turnover,517.5054425196308,130.54685460328847,-386.95858791634237,0.2522618003159191
total_transaction_cost,691115.8903382106,233288.37479696347,-457827.51554124715,0.3375531919585866
total_delist_writeoff,76879.74657105167,3.2741809263825413e-12,-76879.74657105167,4.258834182493784e-17
trade_count,11304.0,2707.0,-8597.0,0.23947275300778487
maximum_single_asset_weight,0.07480973502110623,0.10353413773596874,0.028724402714862513,1.3839661069078568
average_holdings_count,36.17068134893324,31.472550382209867,-4.698130966723376,0.8701121794914174
blocked_buys,13.0,7.0,-6.0,0.5384615384615384
blocked_sells,53.0,6.0,-47.0,0.11320754716981132
