frequency,strategy,sample_period,start_date,end_date,trading_days,period_return,annualized_return,annualized_volatility,annualized_sharpe,max_drawdown,total_turnover,transaction_cost,delist_writeoff
monthly,multi_equal_3,test_2025,2025-01-02,2025-12-31,243,0.6657680756733011,0.6622737267172663,0.21991019065544185,2.4238181759211543,0.16178772664766106,22.406284817214406,60662.46802561881,2.1464074961841105e-12
weekly,multi_equal_3,test_2025,2025-01-02,2025-12-31,243,0.6244950604137469,0.6212546743522573,0.21284079024428984,2.380153858973296,0.1536305159154403,91.23189590404216,185112.36947364252,2.291926648467779e-12
monthly,multi_equal_3,train_2020_2023,2020-01-02,2023-12-29,970,1.6390750329549686,0.273930370597528,0.19132916304879113,1.3618497577034214,0.27602685267271276,85.5739592801756,128309.9662058613,1.127773430198431e-12
weekly,multi_equal_3,train_2020_2023,2020-01-02,2023-12-29,970,0.8219085532335364,0.1614415312318498,0.20369782100003644,0.8375296801995322,0.25353728385006147,338.2957823375897,388293.08980897936,55151.35796658723
monthly,multi_equal_3,validation_2024,2024-01-02,2024-12-31,242,0.019865831736197492,0.019865831736197492,0.33904172837880453,0.22829268967891472,0.2963150291168509,22.566610505898435,44315.94056548335,0.0
weekly,multi_equal_3,validation_2024,2024-01-02,2024-12-31,242,0.0318003207955706,0.0318003207955706,0.36412759906595643,0.2681365445840466,0.37801718809898965,87.97776427799894,117710.43105558862,21728.38860446444
monthly,single_amihud_illiquidity_20,test_2025,2025-01-02,2025-12-31,243,0.5401873084031121,0.5374522372160653,0.25056358642374854,1.8441392789031132,0.17484571867909116,15.889610470880607,20920.546281051742,0.0
weekly,single_amihud_illiquidity_20,test_2025,2025-01-02,2025-12-31,243,0.33645440747379696,0.3348603025740444,0.23798306487334467,1.3338034504145049,0.156145665206043,32.24416932986411,12286.188515451522,0.0
monthly,single_amihud_illiquidity_20,train_2020_2023,2020-01-02,2023-12-29,970,0.5870344789268847,0.12213005724469017,0.2191294691044434,0.6358713547621896,0.44059810742243555,57.66663598756156,45824.01479473059,246367.9735836552
weekly,single_amihud_illiquidity_20,train_2020_2023,2020-01-02,2023-12-29,970,-0.5307697647120861,-0.17202755093941058,0.2563237242598183,-0.6058398402280247,0.7621092389059783,118.99107825934479,43444.630904117315,632213.8349821813
monthly,single_amihud_illiquidity_20,validation_2024,2024-01-02,2024-12-31,242,-0.138225651138853,-0.138225651138853,0.3977916996038832,-0.17342022183592512,0.3871352212513536,16.65037366188986,17670.695132393455,50091.643410372
weekly,single_amihud_illiquidity_20,validation_2024,2024-01-02,2024-12-31,242,-0.1290037945498147,-0.1290037945498147,0.3945641857201153,-0.15188030336233796,0.3607350369310369,32.47561783129633,10632.00039383068,41630.77326414965
monthly,single_low_volatility_20,test_2025,2025-01-02,2025-12-31,243,0.033915171554364854,0.033773272250380515,0.1234853260162983,0.33156283263312875,0.0774134126155932,18.754444589808134,24263.51612360566,0.0
weekly,single_low_volatility_20,test_2025,2025-01-02,2025-12-31,243,-0.0026099389734055567,-0.0025992124543445794,0.1135521931956539,0.03464703695795865,0.06960668955221394,45.68122046876321,34766.75490313505,0.0
monthly,single_low_volatility_20,train_2020_2023,2020-01-02,2023-12-29,970,0.275848295342755,0.06266217869060142,0.12450114348202139,0.550424609804793,0.16895340833126937,66.58715022142991,62526.85789730886,0.0
weekly,single_low_volatility_20,train_2020_2023,2020-01-02,2023-12-29,970,-0.21466877685957964,-0.05850652916711918,0.12257801620424347,-0.4298657026619091,0.2480344792760527,158.10016640226274,113762.93624032143,42551.35270202387
monthly,single_low_volatility_20,validation_2024,2024-01-02,2024-12-31,242,0.2521398762547835,0.2521398762547835,0.18474325208713316,1.308908883181616,0.11302917927278255,19.341553743922177,21248.700015422557,0.0
weekly,single_low_volatility_20,validation_2024,2024-01-02,2024-12-31,242,0.2044721030287473,0.2044721030287473,0.17835193244913833,1.1318003307765612,0.12589774007688492,48.735935200012236,32953.493946857394,0.0
monthly,single_reversal_5,test_2025,2025-01-02,2025-12-31,243,0.0272356626426149,0.027122075378755328,0.27182014224382023,0.2344535482791366,0.21682406963146328,23.379537644584794,4548.285438559464,0.0
weekly,single_reversal_5,test_2025,2025-01-02,2025-12-31,243,0.1366142298993227,0.13601542534256983,0.28379838683341274,0.591589527447647,0.24357696921047078,98.90518873622428,5484.71145011659,1212.5284851586516
monthly,single_reversal_5,train_2020_2023,2020-01-02,2023-12-29,970,-0.6220575132075825,-0.21553377320738953,0.2971382406978295,-0.6664358347781372,0.7367635039780928,89.78491961849616,36887.66297538695,345953.14748047304
weekly,single_reversal_5,train_2020_2023,2020-01-02,2023-12-29,970,-0.9121580350959677,-0.4549077668683036,0.2878220513053969,-1.9603280414956403,0.9183578477486892,376.26240014854034,103895.76715632257,88806.7976225619
monthly,single_reversal_5,validation_2024,2024-01-02,2024-12-31,242,-0.390522076995077,-0.390522076995077,0.34866919627538395,-1.2436906923294597,0.5127385726839684,22.457715253867793,4932.597806050626,37382.35199037784
weekly,single_reversal_5,validation_2024,2024-01-02,2024-12-31,242,-0.2509216322878315,-0.2509216322878315,0.4029526799285524,-0.5155709138300096,0.46532998961339345,96.00439697582186,5137.616535788033,12676.465079291833
