frequency,strategy,year,return
monthly,multi_equal_3,2020,0.43834532629043843
weekly,multi_equal_3,2020,0.17535747390694967
monthly,multi_equal_3,2021,0.3787597115713697
weekly,multi_equal_3,2021,0.25463892195422555
monthly,multi_equal_3,2022,0.11838897060602482
weekly,multi_equal_3,2022,0.18502043266180546
monthly,multi_equal_3,2023,0.18989081348068027
weekly,multi_equal_3,2023,0.04258628226627126
monthly,multi_equal_3,2024,0.019865831736197492
weekly,multi_equal_3,2024,0.0318003207955706
monthly,multi_equal_3,2025,0.6657680756733011
weekly,multi_equal_3,2025,0.6244950604137469
monthly,single_amihud_illiquidity_20,2020,-0.11281157041710166
weekly,single_amihud_illiquidity_20,2020,-0.5254777369233621
monthly,single_amihud_illiquidity_20,2021,-0.04550122041542726
weekly,single_amihud_illiquidity_20,2021,-0.38153595556545905
monthly,single_amihud_illiquidity_20,2022,0.22199394227803682
weekly,single_amihud_illiquidity_20,2022,0.22822602706704376
monthly,single_amihud_illiquidity_20,2023,0.5336493057727563
weekly,single_amihud_illiquidity_20,2023,0.30177714719851
monthly,single_amihud_illiquidity_20,2024,-0.138225651138853
weekly,single_amihud_illiquidity_20,2024,-0.1290037945498147
monthly,single_amihud_illiquidity_20,2025,0.5401873084031121
weekly,single_amihud_illiquidity_20,2025,0.33645440747379696
monthly,single_low_volatility_20,2020,0.06682154577678268
weekly,single_low_volatility_20,2020,-0.0631637352807245
monthly,single_low_volatility_20,2021,0.18383838538054742
weekly,single_low_volatility_20,2021,-0.005720132047094428
monthly,single_low_volatility_20,2022,-0.055091162939014726
weekly,single_low_volatility_20,2022,-0.08879904024900453
monthly,single_low_volatility_20,2023,0.0691162513056387
weekly,single_low_volatility_20,2023,-0.07473452762472266
monthly,single_low_volatility_20,2024,0.2521398762547835
weekly,single_low_volatility_20,2024,0.2044721030287473
monthly,single_low_volatility_20,2025,0.033915171554364854
weekly,single_low_volatility_20,2025,-0.0026099389734055567
monthly,single_reversal_5,2020,-0.3022505529316284
weekly,single_reversal_5,2020,-0.5031888130814409
monthly,single_reversal_5,2021,-0.36540738441929077
weekly,single_reversal_5,2021,-0.3819238812699197
monthly,single_reversal_5,2022,-0.07248842321882198
weekly,single_reversal_5,2022,-0.5326130878727886
monthly,single_reversal_5,2023,-0.07973720975381904
weekly,single_reversal_5,2023,-0.38794258366452816
monthly,single_reversal_5,2024,-0.390522076995077
weekly,single_reversal_5,2024,-0.2509216322878315
monthly,single_reversal_5,2025,0.0272356626426149
weekly,single_reversal_5,2025,0.1366142298993227
