factor,horizon,sample_period,factor_group,dates,average_assets,mean_group_return,std_group_return
amihud_illiquidity_20,1,test_2025,1,243,606.320987654321,0.001174072671964296,0.011085877854086415
amihud_illiquidity_20,1,test_2025,2,243,605.3497942386831,0.0012464771208466757,0.011310178380675374
amihud_illiquidity_20,1,test_2025,3,243,604.8518518518518,0.0013603407107548033,0.01153091842574851
amihud_illiquidity_20,1,test_2025,4,243,604.2427983539095,0.0016299752043347421,0.011872471639260957
amihud_illiquidity_20,1,test_2025,5,243,602.4362139917696,0.00209343133017145,0.012450631930758843
amihud_illiquidity_20,1,train_2020_2023,1,970,580.7773195876289,-4.0643205688645834e-05,0.012822917033404584
amihud_illiquidity_20,1,train_2020_2023,2,970,579.8082474226804,0.00017599541848154892,0.012807904884974462
amihud_illiquidity_20,1,train_2020_2023,3,970,579.2,0.00036236230935995147,0.012716158208348387
amihud_illiquidity_20,1,train_2020_2023,4,970,578.6412371134021,0.000685507177155552,0.012493881680669493
amihud_illiquidity_20,1,train_2020_2023,5,970,578.2319587628866,0.0009957366873813171,0.012505055970820985
amihud_illiquidity_20,1,validation_2024,1,242,610.9586776859504,0.00013393757090652089,0.015889289310381183
amihud_illiquidity_20,1,validation_2024,2,242,609.8760330578513,-4.9338669439112625e-05,0.018693314253023532
amihud_illiquidity_20,1,validation_2024,3,242,609.1487603305785,1.7582311849351527e-05,0.020594240468485993
amihud_illiquidity_20,1,validation_2024,4,242,608.2892561983471,0.000223708944938736,0.021849161138704186
amihud_illiquidity_20,1,validation_2024,5,242,606.4214876033058,0.00023672719366830305,0.023675193456899044
amihud_illiquidity_20,5,test_2025,1,243,605.8271604938271,0.006207878805798974,0.023792025204570397
amihud_illiquidity_20,5,test_2025,2,243,604.9094650205761,0.006731033099921988,0.02368333372852293
amihud_illiquidity_20,5,test_2025,3,243,604.3333333333334,0.007054872286483916,0.023936771628368183
amihud_illiquidity_20,5,test_2025,4,243,603.2510288065844,0.00820794200214984,0.02431342225177169
amihud_illiquidity_20,5,test_2025,5,243,601.1358024691358,0.010882396078067454,0.025835922030031266
amihud_illiquidity_20,5,train_2020_2023,1,970,580.1690721649485,-0.0003435594338553836,0.029012784348108007
amihud_illiquidity_20,5,train_2020_2023,2,970,579.1567010309278,0.0007483219821119942,0.029789507297290636
amihud_illiquidity_20,5,train_2020_2023,3,970,578.5123711340207,0.0016900565824316859,0.03006311128107925
amihud_illiquidity_20,5,train_2020_2023,4,970,577.7030927835051,0.0033689130871233423,0.02956315490366196
amihud_illiquidity_20,5,train_2020_2023,5,970,577.2680412371134,0.005078755307701718,0.02982564354213522
amihud_illiquidity_20,5,validation_2024,1,242,610.5909090909091,0.0016015371902840102,0.04165475133701887
amihud_illiquidity_20,5,validation_2024,2,242,609.4297520661157,0.001058642541733389,0.04715165454672666
amihud_illiquidity_20,5,validation_2024,3,242,608.49173553719,0.0014556534753988528,0.05178757294519055
amihud_illiquidity_20,5,validation_2024,4,242,607.7768595041322,0.0023305019979252173,0.05485020555004975
amihud_illiquidity_20,5,validation_2024,5,242,605.6859504132232,0.0025380007791086924,0.06067143185567535
amihud_illiquidity_20,20,test_2025,1,242,603.9586776859504,0.02466034522600409,0.048876007486245716
amihud_illiquidity_20,20,test_2025,2,242,603.1280991735537,0.027778499426670655,0.04423590089017479
amihud_illiquidity_20,20,test_2025,3,242,602.194214876033,0.028552339795563188,0.0433921688080692
amihud_illiquidity_20,20,test_2025,4,242,599.7231404958678,0.031238004663507953,0.04134098521242451
amihud_illiquidity_20,20,test_2025,5,242,595.9090909090909,0.042643218787315536,0.04673254801736841
amihud_illiquidity_20,20,train_2020_2023,1,970,578.0134020618557,-0.0015314935908624235,0.05145445097664721
amihud_illiquidity_20,20,train_2020_2023,2,970,576.7701030927835,0.002235156247822274,0.05267183656427986
amihud_illiquidity_20,20,train_2020_2023,3,970,575.8886597938144,0.005811293335103114,0.052476835301342416
amihud_illiquidity_20,20,train_2020_2023,4,970,574.360824742268,0.011771902058655208,0.05169752627496724
amihud_illiquidity_20,20,train_2020_2023,5,970,573.7546391752577,0.018177141741552272,0.054177489055535676
amihud_illiquidity_20,20,validation_2024,1,242,609.1280991735537,0.011457567573429818,0.0804680207117387
amihud_illiquidity_20,20,validation_2024,2,242,607.6859504132232,0.009177528266912406,0.09394550432261882
amihud_illiquidity_20,20,validation_2024,3,242,606.1776859504132,0.009921628365649342,0.10118123870786926
amihud_illiquidity_20,20,validation_2024,4,242,605.3925619834711,0.011345202702855156,0.10879192262569554
amihud_illiquidity_20,20,validation_2024,5,242,603.1198347107438,0.011560006770605794,0.11680263725704106
amount_change_5_20,1,test_2025,1,243,606.074074074074,0.0017445499380672619,0.01275085487098913
amount_change_5_20,1,test_2025,2,243,605.9341563786008,0.0017980132030423715,0.011465547232343961
amount_change_5_20,1,test_2025,3,243,605.7407407407408,0.0018391575511876093,0.010750427116831203
amount_change_5_20,1,test_2025,4,243,605.0205761316872,0.001544238308892096,0.010758191673048844
amount_change_5_20,1,test_2025,5,243,601.2880658436214,0.0005571524644799087,0.011903542357975683
amount_change_5_20,1,train_2020_2023,1,970,580.3587628865979,0.0004062825249813384,0.013033471550832088
amount_change_5_20,1,train_2020_2023,2,970,580.2721649484536,0.0006598931881668318,0.012578190038226269
amount_change_5_20,1,train_2020_2023,3,970,580.3886597938144,0.0006097369681426421,0.012180761204713696
amount_change_5_20,1,train_2020_2023,4,970,579.920618556701,0.0006133722228852561,0.012159203396784446
amount_change_5_20,1,train_2020_2023,5,970,577.0711340206185,-0.00013864032392243988,0.012786565556553437
amount_change_5_20,1,validation_2024,1,242,610.0330578512396,0.00016947604579897388,0.021562746748966244
amount_change_5_20,1,validation_2024,2,242,610.599173553719,0.00040314635332201006,0.01932054593463922
amount_change_5_20,1,validation_2024,3,242,610.4958677685951,0.00045349434531958573,0.018886009539892817
amount_change_5_20,1,validation_2024,4,242,609.8305785123966,0.00043409880418555474,0.01870930552372556
amount_change_5_20,1,validation_2024,5,242,604.3264462809917,-0.0009098362486891638,0.01976610279913585
amount_change_5_20,5,test_2025,1,243,605.4238683127572,0.008358959735341781,0.02654703985217667
amount_change_5_20,5,test_2025,2,243,605.3415637860082,0.008963676017205607,0.023403818330903003
amount_change_5_20,5,test_2025,3,243,604.9300411522634,0.008827895053331123,0.022242648263454318
amount_change_5_20,5,test_2025,4,243,604.3086419753087,0.008064899930735977,0.022640474660042275
amount_change_5_20,5,test_2025,5,243,600.3086419753087,0.004785222462276241,0.02485816181721181
amount_change_5_20,5,train_2020_2023,1,970,579.640206185567,0.0018220909320060422,0.030800074787255643
amount_change_5_20,5,train_2020_2023,2,970,579.5927835051547,0.002675290069125063,0.029286483187119204
amount_change_5_20,5,train_2020_2023,3,970,579.7278350515464,0.00284712509113768,0.02828462108080655
amount_change_5_20,5,train_2020_2023,4,970,579.1680412371134,0.002861826420268467,0.027987162092421452
amount_change_5_20,5,train_2020_2023,5,970,576.0257731958762,0.00030601831734814453,0.029595573528873008
amount_change_5_20,5,validation_2024,1,242,609.3305785123966,0.0028657748523356866,0.05539243402938285
amount_change_5_20,5,validation_2024,2,242,610.1859504132232,0.0029175295533063546,0.04873715890234409
amount_change_5_20,5,validation_2024,3,242,610.0578512396694,0.003162937232343135,0.047953881432749985
amount_change_5_20,5,validation_2024,4,242,609.4090909090909,0.0021044418866968877,0.047396154705334946
amount_change_5_20,5,validation_2024,5,242,603.5826446280992,-0.0021384198294205846,0.0498824097930671
amount_change_5_20,20,test_2025,1,242,602.0578512396694,0.034451021293831284,0.05300003302954801
amount_change_5_20,20,test_2025,2,242,602.2768595041322,0.03348648788226185,0.043302256674779147
amount_change_5_20,20,test_2025,3,242,602.4380165289256,0.03189251716225857,0.03954698007789472
amount_change_5_20,20,test_2025,4,242,601.8347107438017,0.030022358827504154,0.03918117389433034
amount_change_5_20,20,test_2025,5,242,597.1570247933885,0.02462646332020562,0.04427895689363376
amount_change_5_20,20,train_2020_2023,1,970,576.8917525773196,0.007189423815333126,0.05116260675376089
amount_change_5_20,20,train_2020_2023,2,970,577.1020618556701,0.0093669996201251,0.049923356164664714
amount_change_5_20,20,train_2020_2023,3,970,577.1278350515464,0.009680456057130955,0.04971460583734317
amount_change_5_20,20,train_2020_2023,4,970,576.359793814433,0.008431588211005484,0.05049184014606623
amount_change_5_20,20,train_2020_2023,5,970,572.6144329896907,0.0017434388732942999,0.052372860183706633
amount_change_5_20,20,validation_2024,1,242,606.7148760330579,0.014777067918044713,0.10775458737092955
amount_change_5_20,20,validation_2024,2,242,607.896694214876,0.013790998389677879,0.09549989727689637
amount_change_5_20,20,validation_2024,3,242,608.1570247933885,0.013474833202768896,0.09299065004633453
