证券代码,市场,方向,目标权重,参考资金,目标金额,委托价格,委托数量,信号日期,状态
601728,SH,买入,0.1,1000000,100000.0,客户端复核,客户端按整手计算,2026-01-05,待人工确认
000651,SZ,买入,0.1,1000000,100000.0,客户端复核,客户端按整手计算,2026-01-05,待人工确认
600016,SH,买入,0.1,1000000,100000.0,客户端复核,客户端按整手计算,2026-01-05,待人工确认
603195,SH,买入,0.1,1000000,100000.0,客户端复核,客户端按整手计算,2026-01-05,待人工确认
600009,SH,买入,0.1,1000000,100000.0,客户端复核,客户端按整手计算,2026-01-05,待人工确认
601838,SH,买入,0.1,1000000,100000.0,客户端复核,客户端按整手计算,2026-01-05,待人工确认
600028,SH,买入,0.1,1000000,100000.0,客户端复核,客户端按整手计算,2026-01-05,待人工确认
601800,SH,买入,0.1,1000000,100000.0,客户端复核,客户端按整手计算,2026-01-05,待人工确认
601877,SH,买入,0.1,1000000,100000.0,客户端复核,客户端按整手计算,2026-01-05,待人工确认
601336,SH,买入,0.1,1000000,100000.0,客户端复核,客户端按整手计算,2026-01-05,待人工确认
