factor_a,factor_b,common_dates,average_common_assets,average_rank_correlation,median_rank_correlation,average_high_group_jaccard
amihud_illiquidity_20,amount_change_5_20,1455,2957.050859106529,0.03629333898452231,0.039871156626374665,0.12670094880176555
amihud_illiquidity_20,low_volatility_20,1455,2957.050859106529,0.0838855327031853,0.12298231094288008,0.12480400986902922
amihud_illiquidity_20,momentum_20,1455,2957.050859106529,-0.013918847857320175,0.0022198729524911262,0.0839661867808667
amihud_illiquidity_20,momentum_60_skip_5,1455,2911.7044673539517,-0.14321823233627773,-0.13628296558540826,0.05097429426900495
amihud_illiquidity_20,overnight_reversal_5,1455,2957.050859106529,-0.09863300371471244,-0.10694427322907209,0.08264335927608227
amihud_illiquidity_20,reversal_5,1455,2957.050859106529,-0.03423518358942413,-0.04619046148060623,0.08265796722179583
amount_change_5_20,low_volatility_20,1455,2957.050859106529,0.023541155218129543,0.023986624086268525,0.07104695053278459
amount_change_5_20,momentum_20,1455,2957.050859106529,0.38876972425451495,0.394406068738194,0.2923670874878392
amount_change_5_20,momentum_60_skip_5,1455,2911.7044673539517,-0.0044410518300201955,-0.0055373561470419014,0.13253331060597986
amount_change_5_20,overnight_reversal_5,1455,2958.2061855670104,-0.058406840927711645,-0.056141471516399276,0.1636380699035718
amount_change_5_20,reversal_5,1455,2958.2061855670104,-0.36671080041260173,-0.3812344195278638,0.07514002799493476
low_volatility_20,momentum_20,1455,2957.050859106529,-0.2127751236657514,-0.2348861308230989,0.035096595392581316
low_volatility_20,momentum_60_skip_5,1455,2911.7044673539517,-0.31820132357115954,-0.3458127266359679,0.03124943466100446
low_volatility_20,overnight_reversal_5,1455,2957.050859106529,-0.14040772479094477,-0.1447518025813112,0.03462910023740276
low_volatility_20,reversal_5,1455,2957.050859106529,0.00860089044350287,0.01011927387189394,0.050162022202659404
momentum_20,momentum_60_skip_5,1455,2911.7044673539517,0.35264873558637344,0.36452189783050687,0.3029220316325111
momentum_20,overnight_reversal_5,1455,2957.050859106529,-0.03540492877330078,-0.03427100838632888,0.17644908060758704
momentum_20,reversal_5,1455,2957.050859106529,-0.4177576125140211,-0.42209702806015276,0.07521007882802838
momentum_60_skip_5,overnight_reversal_5,1455,2911.7044673539517,0.08863336445749093,0.08502077703092097,0.20933873614373963
momentum_60_skip_5,reversal_5,1455,2911.7044673539517,0.05481102748168076,0.049539001432103796,0.20194462988445377
overnight_reversal_5,reversal_5,1455,2974.8123711340204,0.23013123112032627,0.22328404629220497,0.22478777326941624
