ts_code,name,start_date,end_date,ann_date,change_reason
000004.SZ,ST深安达,1999-04-27,2001-03-05,1999-04-24,ST
000004.SZ,*ST国农,2006-04-21,2006-08-17,2006-04-20,*ST
000004.SZ,*ST国农,2006-10-09,2007-05-24,2006-09-28,其他
000004.SZ,ST国农,2007-05-25,2009-04-20,2007-05-24,撤消*ST并实行ST
000004.SZ,*ST国农,2009-04-21,2010-05-30,2009-04-20,从ST变为*ST
000004.SZ,ST国农,2010-05-31,2011-06-07,2010-05-28,撤消*ST并实行ST
000004.SZ,ST国华,2022-05-06,2023-06-27,2022-04-30,ST
000004.SZ,*ST国华,2025-04-30,2026-06-22,2025-04-29,*ST
000005.SZ,ST星源,2003-04-16,2003-05-11,2003-04-15,ST
000005.SZ,*ST星源,2003-05-12,2004-05-17,2003-04-30,从ST变为*ST
000005.SZ,ST星源,2004-05-18,2006-07-30,2004-05-17,撤消*ST并实行ST
000005.SZ,ST星源,2006-10-09,2008-06-24,2006-09-28,其他
000005.SZ,ST星源,2021-05-06,,2021-04-30,ST
000007.SZ,ST达声,2001-04-19,2002-04-11,2001-04-18,ST
000007.SZ,ST达声,2007-04-23,2010-01-26,2007-04-20,ST
000007.SZ,ST零七,2010-01-27,2012-05-03,2010-01-04,其他
000007.SZ,*ST全新,2021-04-30,2022-06-30,2021-04-29,*ST
000007.SZ,*ST全新,2023-05-05,2024-07-01,2023-04-29,*ST
000008.SZ,ST亿安,2002-04-30,2003-05-11,2002-04-29,ST
000008.SZ,*ST亿安,2003-05-12,2004-02-19,2003-04-30,从ST变为*ST
000008.SZ,ST亿安,2004-02-20,2005-02-21,2004-02-19,撤消*ST并实行ST
000008.SZ,*ST宝投,2007-03-30,2008-04-02,2007-03-29,*ST
000008.SZ,ST宝利来,2008-04-03,2013-04-18,2008-04-02,撤消*ST并实行ST
000009.SZ,ST深宝安,1999-04-30,2000-04-13,1999-04-29,ST
000010.SZ,ST深华新,2000-04-27,2001-04-09,2000-04-26,ST
000010.SZ,*ST华新,2006-05-09,2006-10-08,2006-05-08,*ST
000010.SZ,S*ST华新,2006-10-09,2007-03-20,2006-09-28,其他
000010.SZ,SST华新,2007-03-21,2013-07-18,2007-03-20,撤消*ST并实行ST
000010.SZ,ST华新,2013-07-19,2013-10-17,2013-07-17,其他
000010.SZ,*ST美丽,2019-04-26,2020-07-21,2019-04-25,*ST
000010.SZ,*ST美丽,2026-04-30,,2026-04-29,*ST
000011.SZ,ST深物业,2000-05-09,2005-03-07,2000-04-29,ST
000011.SZ,S*ST物业,2008-04-16,2009-09-15,2008-04-15,*ST
000014.SZ,ST深华源,1998-06-15,2002-02-07,1998-06-12,ST
000016.SZ,*ST康佳A,2026-04-30,,2026-04-29,*ST
000017.SZ,ST中华A,1999-05-04,2005-05-08,1999-04-30,ST
000017.SZ,*ST中华A,2005-05-09,2006-10-08,2005-04-29,从ST变为*ST
000017.SZ,S*ST中华,2006-10-09,2007-02-08,2006-09-28,其他
000017.SZ,SST中华A,2007-02-09,2010-03-17,2007-02-08,撤消*ST并实行ST
000017.SZ,ST中华A,2010-03-18,2010-04-27,2010-03-16,其他
000017.SZ,*ST中华A,2010-04-28,2014-05-13,2010-04-27,从ST变为*ST
000017.SZ,*ST中华A,2020-04-29,2021-06-21,2020-04-28,*ST
000018.SZ,ST中冠A,2007-08-28,2009-04-23,2007-08-27,ST
000018.SZ,*ST中冠A,2009-04-24,2010-05-30,2009-04-23,从ST变为*ST
000018.SZ,ST中冠A,2010-05-31,2013-04-23,2010-05-28,撤消*ST并实行ST
000018.SZ,*ST中冠A,2013-04-24,2014-03-12,2013-04-23,从ST变为*ST
000018.SZ,*ST神城,2019-05-06,2019-11-24,2019-04-30,*ST
000020.SZ,ST华发A,1999-04-27,2000-03-28,1999-04-24,ST
000020.SZ,ST华发A,2004-04-27,2005-04-28,2004-04-26,ST
000020.SZ,*ST华发A,2005-04-29,2006-10-08,2005-04-28,从ST变为*ST
000020.SZ,S*ST华发,2006-10-09,2006-11-21,2006-09-28,其他
000020.SZ,SST华发A,2006-11-22,2007-05-17,2006-11-21,撤消*ST并实行ST
000020.SZ,ST华发A,2007-05-18,2009-05-18,2007-05-16,其他
000023.SZ,ST深天,2023-05-05,2024-05-05,2023-04-29,ST
000023.SZ,*ST深天,2024-05-06,,2024-04-30,从ST变为*ST
000025.SZ,ST特力A,2000-04-19,2006-01-03,2000-04-18,ST
000030.SZ,ST英达A,1998-06-15,2002-07-18,1998-06-12,ST
000030.SZ,ST盛润A,2002-07-19,2003-05-11,2002-04-19,其他
000030.SZ,*ST盛润A,2003-05-12,2004-04-19,2003-04-30,从ST变为*ST
000030.SZ,ST盛润A,2004-04-20,2006-04-03,2004-04-19,撤消*ST并实行ST
000030.SZ,*ST盛润A,2006-04-04,2006-10-08,2006-04-03,从ST变为*ST
000030.SZ,S*ST盛润,2006-10-09,2008-10-30,2006-09-28,其他
000030.SZ,SST盛润,2008-10-31,2008-12-28,2008-10-30,撤消*ST并实行ST
000030.SZ,ST盛润A,2008-12-29,2009-04-08,2008-12-25,其他
000030.SZ,*ST盛润A,2009-04-09,2013-04-23,2009-04-08,从ST变为*ST
000034.SZ,ST深华宝,1999-04-30,2001-01-17,1999-04-30,ST
000034.SZ,ST深泰,2005-05-10,2006-04-27,2005-04-30,ST
000034.SZ,*ST深泰,2006-04-28,2006-10-08,2006-04-27,从ST变为*ST
000034.SZ,S*ST深泰,2006-10-09,2007-08-20,2006-09-28,其他
000034.SZ,SST深泰,2007-08-21,2008-07-13,2007-08-20,撤消*ST并实行ST
000034.SZ,ST深泰,2008-07-14,2009-04-28,2008-07-10,其他
000034.SZ,*ST深泰,2009-04-29,2010-09-13,2009-04-28,从ST变为*ST
000034.SZ,ST深泰,2010-09-14,2011-03-31,2010-09-13,撤消*ST并实行ST
000035.SZ,*ST科健,2005-07-01,2005-09-01,2005-06-30,*ST
000035.SZ,ST科健,2005-09-02,2006-05-08,2005-09-01,撤消*ST并实行ST
000035.SZ,*ST科健,2006-05-09,2006-10-08,2006-05-08,从ST变为*ST
000035.SZ,S*ST科健,2006-10-09,2007-01-15,2006-09-28,其他
000035.SZ,*ST科健,2007-01-16,2007-06-14,2007-01-12,其他
000035.SZ,ST科健,2007-06-15,2010-04-27,2007-06-14,撤消*ST并实行ST
000035.SZ,*ST科健,2010-04-28,2011-08-10,2010-04-27,从ST变为*ST
000035.SZ,ST科健,2011-08-11,2011-10-11,2011-08-10,撤消*ST并实行ST
000035.SZ,*ST科健,2011-10-12,2014-04-21,2011-10-11,从ST变为*ST
000036.SZ,*ST华控,2009-04-29,2010-06-03,2009-04-28,*ST
000037.SZ,*ST南电A,2016-04-05,2017-04-16,2016-04-01,*ST
000038.SZ,ST深大通,2000-04-11,2001-04-05,2000-04-11,ST
000038.SZ,*ST大通,2006-05-09,2006-10-08,2006-05-08,*ST
000038.SZ,S*ST大通,2006-10-09,2009-05-03,2006-09-28,其他
000038.SZ,*ST大通,2009-05-04,2013-05-13,2009-04-30,其他
000038.SZ,*ST大通,2022-05-06,2023-06-18,2022-04-30,*ST
000040.SZ,ST鸿基,2003-04-18,2003-05-11,2003-04-17,ST
000040.SZ,*ST鸿基,2003-05-12,2004-05-09,2003-05-12,从ST变为*ST
000040.SZ,ST鸿基,2004-05-10,2005-05-25,2004-04-30,撤消*ST并实行ST
000040.SZ,ST旭蓝,2024-07-09,2025-03-06,2024-07-05,ST
000040.SZ,*ST旭蓝,2025-03-07,,2025-03-06,从ST变为*ST
000046.SZ,*ST泛海,2023-05-05,,2023-04-29,*ST
000048.SZ,ST中科,2001-05-08,2001-10-28,2001-04-30,ST
000048.SZ,ST康达尔,2001-10-29,2005-05-12,2001-08-09,其他
000048.SZ,*ST康达,2007-04-26,2008-05-19,2007-04-25,*ST
000048.SZ,ST康达尔,2008-05-20,2012-05-30,2008-05-19,撤消*ST并实行ST
000048.SZ,*ST康达,2018-07-02,2019-10-14,2018-06-29,*ST
000049.SZ,ST深万山,1998-06-10,1999-06-09,1998-06-09,ST
000049.SZ,ST万山,2004-02-12,2005-03-15,2004-02-11,ST
000056.SZ,*ST国商,2012-04-23,2014-03-30,2012-04-20,*ST
000056.SZ,*ST皇庭,2026-04-27,,2026-04-24,*ST
000058.SZ,*ST赛格,2007-04-27,2008-05-19,2007-04-26,*ST
000058.SZ,ST赛格,2008-05-20,2009-06-29,2008-05-19,撤消*ST并实行ST
000059.SZ,*ST华锦,2015-04-15,2016-04-19,2015-04-14,*ST
000068.SZ,ST三星,2010-04-01,2013-03-12,2010-03-31,ST
000068.SZ,ST华赛,2013-03-13,2013-05-20,2013-01-25,其他
000068.SZ,*ST华赛,2015-03-25,2016-04-11,2015-03-24,*ST
000070.SZ,ST特信,2024-05-14,2025-07-08,2024-05-13,ST
000078.SZ,ST海王,2026-05-06,,2026-04-30,ST
000100.SZ,*STTCL,2007-05-08,2008-03-27,2007-04-30,*ST
000150.SZ,ST麦科特,2002-04-30,2004-03-23,2002-04-29,ST
000150.SZ,*ST光电,2004-03-24,2005-03-29,2004-03-23,从ST变为*ST
000150.SZ,S*ST光电,2007-04-04,2007-10-18,2007-04-03,*ST
000150.SZ,S*ST宜地,2007-10-19,2007-11-01,2007-09-25,其他
000150.SZ,*ST宜地,2007-11-02,2008-05-14,2007-10-31,其他
000150.SZ,*ST宜康,2022-05-06,,2022-04-30,*ST
000155.SZ,*ST川化,2012-04-27,2013-06-05,2012-04-26,*ST
