trade_date,clean_rows,sh_sz_rows,main_board_rows,gem_rows,star_rows,suspended_rows,tradable_at_open_rows
2019-10-08,3666,3666,2863,770,33,0,3654
2019-10-09,3666,3666,2863,770,33,0,3654
2019-10-10,3667,3667,2865,769,33,0,3654
2019-10-11,3669,3669,2867,769,33,0,3653
2019-10-14,3670,3670,2867,769,34,0,3649
2019-10-15,3672,3672,2869,769,34,1,3649
2019-10-16,3672,3672,2869,769,34,0,3658
2019-10-17,3671,3671,2868,769,34,0,3657
2019-10-18,3673,3673,2870,769,34,1,3660
2019-10-21,3671,3671,2870,767,34,0,3648
2019-10-22,3673,3673,2870,769,34,1,3659
2019-10-23,3674,3674,2872,768,34,0,3657
2019-10-24,3675,3675,2872,769,34,0,3661
2019-10-25,3676,3676,2872,769,35,1,3660
2019-10-28,3678,3678,2872,770,36,2,3555
2019-10-29,3681,3681,2874,771,36,3,3622
2019-10-30,3680,3680,2870,772,38,0,3659
2019-10-31,3682,3682,2872,770,40,0,3657
2019-11-01,3683,3683,2870,772,41,1,3666
2019-11-04,3685,3685,2872,772,41,0,3673
2019-11-05,3691,3691,2874,771,46,0,3681
2019-11-06,3691,3691,2872,770,49,1,3681
2019-11-07,3696,3696,2874,772,50,2,3685
2019-11-08,3699,3699,2874,774,51,2,3688
2019-11-11,3701,3701,2876,774,51,1,3686
2019-11-12,3703,3703,2877,775,51,0,3690
2019-11-13,3697,3697,2872,774,51,0,3688
2019-11-14,3701,3701,2876,774,51,1,3688
2019-11-15,3703,3703,2874,776,53,1,3690
2019-11-18,3708,3708,2876,778,54,1,3690
2019-11-19,3707,3707,2875,778,54,0,3692
2019-11-20,3707,3707,2874,778,55,0,3691
2019-11-21,3710,3710,2875,779,56,1,3698
2019-11-22,3712,3712,2876,780,56,1,3698
2019-11-25,3715,3715,2877,782,56,2,3692
2019-11-26,3715,3715,2877,782,56,1,3700
2019-11-27,3714,3714,2877,781,56,0,3698
2019-11-28,3712,3712,2874,782,56,1,3698
2019-11-29,3713,3713,2874,783,56,1,3693
2019-12-02,3711,3711,2872,783,56,1,3698
2019-12-03,3716,3716,2875,783,58,1,3701
2019-12-04,3716,3716,2872,784,60,1,3700
2019-12-05,3719,3719,2874,784,61,0,3704
2019-12-06,3719,3719,2873,785,61,1,3697
2019-12-09,3720,3720,2873,784,63,2,3702
2019-12-10,3719,3719,2873,783,63,1,3706
2019-12-11,3722,3722,2874,783,65,0,3701
2019-12-12,3724,3724,2875,784,65,0,3707
2019-12-13,3727,3727,2878,784,65,0,3710
2019-12-16,3731,3731,2882,783,66,0,3719
2019-12-17,3731,3731,2883,782,66,2,3718
2019-12-18,3731,3731,2882,783,66,1,3715
2019-12-19,3732,3732,2881,784,67,1,3717
2019-12-20,3731,3731,2881,783,67,1,3711
2019-12-23,3735,3735,2883,784,68,0,3707
2019-12-24,3738,3738,2885,785,68,1,3706
2019-12-25,3735,3735,2882,785,68,0,3709
2019-12-26,3736,3736,2883,784,69,0,3723
2019-12-27,3738,3738,2884,785,69,2,3718
2019-12-30,3740,3740,2884,786,70,2,3713
2019-12-31,3741,3741,2885,786,70,1,3712
2020-01-02,3740,3740,2884,786,70,0,3710
2020-01-03,3741,3741,2885,786,70,0,3716
2020-01-06,3743,3743,2885,786,72,2,3711
2020-01-07,3743,3743,2883,788,72,0,3720
2020-01-08,3742,3742,2882,788,72,0,3722
2020-01-09,3742,3742,2881,789,72,1,3724
2020-01-10,3740,3740,2879,789,72,1,3717
2020-01-13,3740,3740,2880,788,72,1,3725
2020-01-14,3743,3743,2882,788,73,0,3723
2020-01-15,3743,3743,2882,788,73,1,3726
2020-01-16,3744,3744,2884,787,73,1,3729
2020-01-17,3748,3748,2885,789,74,0,3726
2020-01-20,3751,3751,2887,789,75,1,3717
2020-01-21,3753,3753,2889,788,76,0,3713
2020-01-22,3757,3757,2892,788,77,0,3706
2020-01-23,3760,3760,2892,789,79,1,3678
2020-02-03,3760,3760,2892,789,79,1,587
2020-02-04,3761,3761,2893,789,79,4,2530
2020-02-05,3764,3764,2894,790,80,2,3707
2020-02-06,3765,3765,2895,790,80,1,3715
2020-02-07,3766,3766,2896,790,80,1,3707
2020-02-10,3767,3767,2896,791,80,1,3702
2020-02-11,3769,3769,2896,791,82,2,3734
2020-02-12,3771,3771,2895,793,83,1,3734
2020-02-13,3773,3773,2895,794,84,1,3746
2020-02-14,3774,3774,2896,794,84,0,3750
2020-02-17,3775,3775,2896,794,85,0,3745
2020-02-18,3775,3775,2895,794,86,1,3738
2020-02-19,3777,3777,2896,795,86,0,3738
2020-02-20,3777,3777,2896,795,86,0,3758
2020-02-21,3780,3780,2896,795,89,1,3751
2020-02-24,3781,3781,2897,795,89,0,3746
2020-02-25,3781,3781,2897,795,89,0,3756
2020-02-26,3782,3782,2898,794,90,1,3747
2020-02-27,3782,3782,2896,795,91,0,3757
2020-02-28,3783,3783,2897,795,91,0,3738
2020-03-02,3782,3782,2896,795,91,1,3756
2020-03-03,3781,3781,2895,795,91,0,3730
2020-03-04,3778,3778,2892,795,91,0,3760
2020-03-05,3779,3779,2894,794,91,0,3744
2020-03-06,3778,3778,2894,793,91,1,3756
2020-03-09,3777,3777,2893,793,91,0,3741
2020-03-10,3778,3778,2894,793,91,1,3742
2020-03-11,3776,3776,2892,793,91,0,3742
2020-03-12,3777,3777,2890,796,91,2,3756
2020-03-13,3778,3778,2890,797,91,1,3687
2020-03-16,3777,3777,2890,796,91,0,3742
2020-03-17,3777,3777,2891,795,91,1,3750
2020-03-18,3777,3777,2891,795,91,0,3751
2020-03-19,3781,3781,2893,797,91,1,3761
2020-03-20,3783,3783,2894,797,92,0,3763
2020-03-23,3786,3786,2897,797,92,1,3763
2020-03-24,3785,3785,2896,797,92,0,3764
2020-03-25,3784,3784,2895,797,92,0,3766
2020-03-26,3787,3787,2897,797,93,0,3766
2020-03-27,3790,3790,2898,798,94,1,3770
2020-03-30,3789,3789,2896,799,94,0,3776
2020-03-31,3789,3789,2895,800,94,0,3775
2020-04-01,3791,3791,2897,800,94,0,3771
2020-04-02,3791,3791,2897,800,94,0,3775
2020-04-03,3792,3792,2897,801,94,1,3769
2020-04-07,3789,3789,2896,799,94,1,3764
2020-04-08,3789,3789,2897,798,94,1,3759
2020-04-09,3791,3791,2898,797,96,0,3767
2020-04-10,3792,3792,2897,799,96,2,3770
2020-04-13,3791,3791,2897,798,96,0,3762
2020-04-14,3792,3792,2898,798,96,0,3775
2020-04-15,3791,3791,2896,799,96,2,3766
2020-04-16,3797,3797,2901,799,97,0,3781
2020-04-17,3800,3800,2904,799,97,2,3780
2020-04-20,3797,3797,2899,800,98,0,3777
2020-04-21,3798,3798,2900,800,98,2,3777
2020-04-22,3802,3802,2901,803,98,2,3780
2020-04-23,3803,3803,2903,802,98,0,3781
2020-04-24,3802,3802,2901,803,98,1,3780
2020-04-27,3802,3802,2900,803,99,0,3764
2020-04-28,3794,3794,2892,803,99,2,3746
2020-04-29,3785,3785,2883,802,100,2,3734
2020-04-30,3771,3771,2870,801,100,0,3709
2020-05-06,3798,3798,2899,799,100,2,3721
2020-05-07,3804,3804,2902,802,100,1,3739
2020-05-08,3806,3806,2902,803,101,0,3752
2020-05-11,3807,3807,2902,803,102,0,3765
2020-05-12,3807,3807,2900,805,102,1,3772
2020-05-13,3810,3810,2903,805,102,0,3769
2020-05-14,3812,3812,2905,805,102,0,3779
2020-05-15,3813,3813,2906,805,102,0,3785
