year,market,distinct_stocks,observations
2019,主板,2895,175345
2019,创业板,788,47402
2019,科创板,70,3144
2020,主板,3041,712127
2020,创业板,898,201067
2020,北交所,41,3618
2020,科创板,215,32768
2021,主板,3151,747893
2021,创业板,1091,238544
2021,北交所,82,14287
2021,科创板,377,72426
2022,主板,3206,760083
2022,创业板,1240,280310
2022,北交所,162,24775
2022,科创板,501,105870
2023,主板,3231,769678
2023,创业板,1342,309913
2023,北交所,239,49034
2023,科创板,568,129877
2024,主板,3218,769001
2024,创业板,1371,325627
2024,北交所,262,60449
2024,科创板,581,138574
2025,主板,3213,770721
2025,创业板,1398,334752
2025,北交所,288,65764
2025,科创板,600,142635
2026,主板,3192,63665
2026,创业板,1393,27793
2026,北交所,292,5765
2026,科创板,601,11996
