period,factor,qlib_expression,mean_rank_ic,ic_ir,months
train,KMID,($close-$open)/$open,-0.002209970573608151,-0.014047558278661615,36
train,KLEN,($high-$low)/$open,-0.04808896645144687,-0.261755414780345,36
train,KSFT,(2*$close-$high-$low)/$open,-0.00531523577808522,-0.03408776191936884,36
train,ROC5,"Ref($close, 5)/$close",0.013873948391922474,0.07907326707793284,36
train,ROC10,"Ref($close, 10)/$close",0.04682637696069936,0.2592908168302815,36
train,ROC20,"Ref($close, 20)/$close",0.04768229803965595,0.2459354500092749,36
train,ROC60,"Ref($close, 60)/$close",0.06687548622555947,0.31718257725008353,36
train,MA5,"Mean($close, 5)/$close",0.018329761820014098,0.09583557414216151,36
train,MA10,"Mean($close, 10)/$close",0.025362385557262262,0.14095346605465228,36
train,MA20,"Mean($close, 20)/$close",0.029017769700715228,0.155496307592373,36
train,MA60,"Mean($close, 60)/$close",0.06848240939138084,0.3136575997600328,36
train,STD5,"Std($close, 5)/$close",-0.024401583327303095,-0.12066455272905724,36
train,STD10,"Std($close, 10)/$close",-0.018995864517189803,-0.09329154250687596,36
train,STD20,"Std($close, 20)/$close",-0.03805687881422373,-0.17268245010984298,36
train,STD60,"Std($close, 60)/$close",-0.01471453679021238,-0.06538223097628762,36
train,RSV5,"($close-Min($low, 5))/(Max($high, 5)-Min($low, 5)+1e-12)",-0.03196510137128269,-0.18855020302105235,36
train,RSV20,"($close-Min($low, 20))/(Max($high, 20)-Min($low, 20)+1e-12)",-0.02145612918749483,-0.11467292608360352,36
train,RSV60,"($close-Min($low, 60))/(Max($high, 60)-Min($low, 60)+1e-12)",-0.04873088152246623,-0.24002899577429918,36
train,CORR20,"Corr($close, Log($volume+1), 20)",-0.055192881782606985,-0.36322804622493554,36
train,CNTP20,"Mean($close>Ref($close, 1), 20)",-0.060113863749112616,-0.40626911937459703,36
train,WVMA20,"Std(Abs($close/Ref($close, 1)-1)*$volume, 20)/(Mean(Abs($close/Ref($close, 1)-1)*$volume, 20)+1e-12)",0.03694342392846613,0.32818826458653355,36
validation,KMID,($close-$open)/$open,-0.018180571921480943,-0.07755578899061295,24
validation,KLEN,($high-$low)/$open,-0.07092109151607966,-0.34702362052133495,24
validation,KSFT,(2*$close-$high-$low)/$open,-0.03244301092198013,-0.15389502254327364,24
validation,ROC5,"Ref($close, 5)/$close",0.012000708986637765,0.05467968153903008,24
validation,ROC10,"Ref($close, 10)/$close",0.013332141337879022,0.06583177658854036,24
validation,ROC20,"Ref($close, 20)/$close",-0.025275716352974167,-0.15426890370861004,24
validation,ROC60,"Ref($close, 60)/$close",-0.013908652395319116,-0.07505680175740409,24
validation,MA5,"Mean($close, 5)/$close",0.044711123538247216,0.19381401888250868,24
validation,MA10,"Mean($close, 10)/$close",0.026938486838222264,0.11737000576568844,24
validation,MA20,"Mean($close, 20)/$close",-0.00040614691677066245,-0.0021418941052570345,24
