ts_code,trade_date,symbol,name,area,industry,market,exchange,list_status,list_date,delist_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,reference_factor,open_adj,high_adj,low_adj,close_adj,limit_pre_close,up_limit,down_limit,is_suspended,is_st,is_research_universe,st_data_available,has_stock_metadata,is_listed_on_date,has_invalid_raw_price,has_invalid_adjusted_price,has_invalid_adj_factor,has_invalid_volume,has_invalid_amount,has_zero_volume,is_open_at_up_limit,is_open_at_down_limit,is_close_at_up_limit,is_close_at_down_limit,can_trade_at_open
000001.SZ,2025-01-02,000001,平安银行,深圳,银行,主板,SZSE,L,1991-04-03,,11.73,11.77,11.39,11.43,11.7,-0.27,-2.3077,1819596.99,2102923.078,127.7841,134.5794,11.137718647876273,11.175698933120522,10.814886223300148,10.852866508544398,11.7,12.87,10.53,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000002.SZ,2025-01-02,000002,万科A,深圳,全国地产,主板,SZSE,L,1991-01-29,,7.25,7.36,7.07,7.11,7.26,-0.15,-2.0661,1182666.05,854487.563,181.704,181.704,7.25,7.36,7.07,7.110000000000001,7.26,7.99,6.53,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000004.SZ,2025-01-02,000004,国华退,,,主板,SZSE,D,1990-12-01,2026-07-14,13.73,14.39,13.33,14.18,13.84,0.34,2.4566,119760.37,167987.024,4.064,4.064,13.73,14.39,13.33,14.18,13.84,15.22,12.46,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000006.SZ,2025-01-02,000006,深振业A,深圳,区域地产,主板,SZSE,L,1992-04-27,,7.23,7.52,7.18,7.25,7.32,-0.07,-0.9563,307195.1,225252.942,39.74,39.74,7.230000000000001,7.5200000000000005,7.179999999999999,7.25,7.32,8.05,6.59,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000007.SZ,2025-01-02,000007,全新好,深圳,其他商业,主板,SZSE,L,1992-04-13,,7.0,7.27,6.94,7.02,7.03,-0.01,-0.1422,68219.01,48456.355,8.284,8.284,7.0,7.27,6.94,7.02,7.03,7.73,6.33,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000008.SZ,2025-01-02,000008,神州高铁,北京,运输设备,主板,SZSE,L,1992-05-07,,2.95,2.98,2.81,2.84,2.9,-0.06,-2.069,1095700.44,316812.796,22.408,22.408,2.9500000000000006,2.98,2.81,2.84,2.9,3.19,2.61,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000009.SZ,2025-01-02,000009,中国宝安,深圳,电气设备,主板,SZSE,L,1991-06-25,,9.16,9.17,8.82,8.9,9.15,-0.25,-2.7322,239104.54,215305.581,8.977,9.0053,9.131213840738232,9.141182414800173,8.792282322632229,8.872030915127759,9.15,10.07,8.24,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000010.SZ,2025-01-02,000010,*ST美丽,深圳,建筑工程,主板,SZSE,L,1995-10-27,,2.79,2.83,2.67,2.71,2.81,-0.1,-3.5587,347095.0,95665.836,10.775,10.775,2.79,2.83,2.67,2.71,2.81,3.09,2.53,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000011.SZ,2025-01-02,000011,深物业A,深圳,房产服务,主板,SZSE,L,1992-03-30,,8.7,8.86,8.55,8.62,8.74,-0.12,-1.373,42325.1,36956.749,4.411,4.411,8.7,8.86,8.55,8.62,8.74,9.61,7.87,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000012.SZ,2025-01-02,000012,南玻A,深圳,玻璃,主板,SZSE,L,1992-02-28,,5.29,5.31,5.11,5.14,5.28,-0.14,-2.6515,163923.12,85557.805,29.9276,30.3449,5.217252454283916,5.236977416303893,5.039727796104124,5.069315239134089,5.28,5.81,4.75,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
