ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20250102,11.73,11.77,11.39,11.43,11.7,-0.27,-2.3077,1819596.99,2102923.078
000002.SZ,20250102,7.25,7.36,7.07,7.11,7.26,-0.15,-2.0661,1182666.05,854487.563
000004.SZ,20250102,13.73,14.39,13.33,14.18,13.84,0.34,2.4566,119760.37,167987.024
000006.SZ,20250102,7.23,7.52,7.18,7.25,7.32,-0.07,-0.9563,307195.1,225252.942
000007.SZ,20250102,7.0,7.27,6.94,7.02,7.03,-0.01,-0.1422,68219.01,48456.355
000008.SZ,20250102,2.95,2.98,2.81,2.84,2.9,-0.06,-2.069,1095700.44,316812.796
000009.SZ,20250102,9.16,9.17,8.82,8.9,9.15,-0.25,-2.7322,239104.54,215305.581
000010.SZ,20250102,2.79,2.83,2.67,2.71,2.81,-0.1,-3.5587,347095.0,95665.836
000011.SZ,20250102,8.7,8.86,8.55,8.62,8.74,-0.12,-1.373,42325.1,36956.749
000012.SZ,20250102,5.29,5.31,5.11,5.14,5.28,-0.14,-2.6515,163923.12,85557.805
000001.SZ,20250103,11.44,11.54,11.36,11.38,11.43,-0.05,-0.4374,1154680.44,1320520.978
000002.SZ,20250103,7.17,7.18,6.96,7.0,7.11,-0.11,-1.5471,1124915.16,795154.845
000004.SZ,20250103,14.2,14.4,12.76,12.8,14.18,-1.38,-9.732,123929.75,164927.377
000006.SZ,20250103,7.3,7.45,6.86,6.91,7.25,-0.34,-4.6897,392405.05,275530.027
000007.SZ,20250103,6.99,7.02,6.6,6.6,7.02,-0.42,-5.9829,79353.0,53622.184
000008.SZ,20250103,2.84,2.85,2.63,2.65,2.84,-0.19,-6.6901,1177823.73,319412.025
000009.SZ,20250103,8.9,8.97,8.68,8.72,8.9,-0.18,-2.0225,143679.27,126688.166
000010.SZ,20250103,2.75,2.78,2.61,2.64,2.71,-0.07,-2.583,283047.16,75658.571
000011.SZ,20250103,8.55,8.68,8.27,8.27,8.62,-0.35,-4.0603,48118.09,40593.401
000012.SZ,20250103,5.16,5.22,5.06,5.08,5.14,-0.06,-1.1673,160820.37,82624.045
000001.SZ,20250106,11.38,11.48,11.22,11.44,11.38,0.06,0.5272,1085536.3,1234305.778
000002.SZ,20250106,6.99,7.01,6.89,6.98,7.0,-0.02,-0.2857,850856.61,591154.773
000004.SZ,20250106,12.4,12.93,12.1,12.52,12.8,-0.28,-2.1875,84810.46,106111.266
000006.SZ,20250106,6.78,6.9,6.5,6.7,6.91,-0.21,-3.0391,321402.29,216461.997
000007.SZ,20250106,6.61,6.74,6.39,6.63,6.6,0.03,0.4545,38070.66,25114.735
000008.SZ,20250106,2.61,2.71,2.55,2.58,2.65,-0.07,-2.6415,908432.13,236957.732
000009.SZ,20250106,8.7,8.81,8.64,8.74,8.72,0.02,0.2294,108030.32,94111.507
000010.SZ,20250106,2.59,2.74,2.53,2.64,2.64,0.0,0.0,268367.18,70149.192
000011.SZ,20250106,8.28,8.41,8.15,8.3,8.27,0.03,0.3628,29201.33,24182.482
000012.SZ,20250106,5.08,5.16,5.06,5.12,5.08,0.04,0.7874,127604.75,65223.298
000001.SZ,20250107,11.42,11.53,11.37,11.51,11.44,0.07,0.6119,747862.88,858329.049
000002.SZ,20250107,6.96,7.05,6.92,7.05,6.98,0.07,1.0029,720471.05,504087.513
000004.SZ,20250107,12.65,13.12,12.65,13.11,12.52,0.59,4.7125,86097.07,110966.824
000006.SZ,20250107,6.72,6.86,6.66,6.85,6.7,0.15,2.2388,236841.5,160237.518
000007.SZ,20250107,6.63,6.93,6.58,6.93,6.63,0.3,4.5249,31994.9,21530.88
000008.SZ,20250107,2.6,2.66,2.59,2.66,2.58,0.08,3.1008,711488.54,186369.92
000009.SZ,20250107,8.7,8.8,8.66,8.73,8.74,-0.01,-0.1144,101469.23,88586.233
000010.SZ,20250107,2.64,2.9,2.6,2.9,2.64,0.26,9.8485,506843.0,141152.295
000011.SZ,20250107,8.29,8.56,8.29,8.53,8.3,0.23,2.7711,35943.07,30311.409
000012.SZ,20250107,5.12,5.14,5.04,5.09,5.12,-0.03,-0.5859,114092.49,57969.424
000001.SZ,20250108,11.5,11.63,11.4,11.5,11.51,-0.01,-0.0869,1062386.01,1223598.997
000002.SZ,20250108,7.02,7.03,6.83,6.96,7.05,-0.09,-1.2766,912683.96,632775.676
000004.SZ,20250108,13.03,13.48,12.89,13.4,13.11,0.29,2.2121,99782.01,132231.151
000006.SZ,20250108,6.8,7.05,6.68,6.96,6.85,0.11,1.6058,366920.74,253004.65
000007.SZ,20250108,6.93,7.0,6.7,6.93,6.93,0.0,0.0,38617.0,26524.725
000008.SZ,20250108,2.64,2.65,2.53,2.64,2.66,-0.02,-0.7519,874396.2,226959.518
000009.SZ,20250108,8.73,8.73,8.43,8.63,8.73,-0.1,-1.1455,178207.21,152765.551
000010.SZ,20250108,2.92,3.04,2.8,2.96,2.9,0.06,2.069,606705.95,177861.793
000011.SZ,20250108,8.45,8.55,8.29,8.45,8.53,-0.08,-0.9379,31871.0,26826.321
000012.SZ,20250108,5.1,5.1,4.97,5.06,5.09,-0.03,-0.5894,134847.18,67929.527
000001.SZ,20250109,11.5,11.5,11.35,11.4,11.5,-0.1,-0.8696,751483.3,857836.086
000002.SZ,20250109,6.93,7.01,6.91,6.95,6.96,-0.01,-0.1437,674686.02,469936.432
000004.SZ,20250109,13.36,13.53,13.21,13.26,13.4,-0.14,-1.0448,82884.3,110927.265
000006.SZ,20250109,6.88,6.99,6.81,6.9,6.96,-0.06,-0.8621,209080.67,144172.288
000007.SZ,20250109,6.91,7.2,6.83,7.13,6.93,0.2,2.886,60121.0,42760.306
000008.SZ,20250109,2.62,2.68,2.59,2.65,2.64,0.01,0.3788,668381.23,176989.613
000009.SZ,20250109,8.57,8.66,8.54,8.58,8.63,-0.05,-0.5794,111297.79,95622.704
000010.SZ,20250109,2.93,3.02,2.87,2.96,2.96,0.0,0.0,335011.0,98825.95
000011.SZ,20250109,8.45,8.48,8.37,8.43,8.45,-0.02,-0.2367,19760.38,16682.162
000012.SZ,20250109,5.06,5.06,4.99,4.99,5.06,-0.07,-1.3834,97296.31,48785.174
000001.SZ,20250110,11.4,11.46,11.28,11.3,11.4,-0.1,-0.8772,798133.51,905005.041
000002.SZ,20250110,6.96,7.03,6.69,6.69,6.95,-0.26,-3.741,1338797.76,909001.068
