trade_date,listed_mainboard_stocks,excluded_st_stocks,theoretical_universe_stocks,covered_stocks,missing_known_suspension,missing_unexplained_or_invalid,coverage_pct
2020-01-02,2899,129,2770,2755,9,6,99.4585
2020-01-03,2899,129,2770,2756,8,6,99.4946
2020-01-06,2900,129,2771,2756,9,6,99.4587
2020-01-07,2900,128,2772,2755,10,7,99.3867
2020-01-08,2899,128,2771,2754,11,6,99.3865
2020-01-09,2899,128,2771,2753,12,6,99.3504
2020-01-10,2899,128,2771,2751,14,6,99.2782
2020-01-13,2900,129,2771,2751,14,6,99.2782
2020-01-14,2900,129,2771,2753,12,6,99.3504
2020-01-15,2901,130,2771,2752,13,6,99.3143
2020-01-16,2902,130,2772,2754,12,6,99.3506
2020-01-17,2902,129,2773,2756,11,6,99.3869
2020-01-20,2902,129,2773,2758,9,6,99.4591
2020-01-21,2902,131,2771,2758,7,6,99.5309
2020-01-22,2902,132,2770,2760,4,6,99.639
2020-01-23,2902,132,2770,2760,4,6,99.639
2020-02-03,2902,132,2770,2760,4,6,99.639
2020-02-04,2903,132,2771,2761,4,6,99.6391
2020-02-05,2904,132,2772,2762,3,7,99.6392
2020-02-06,2904,132,2772,2763,3,6,99.6753
2020-02-07,2905,132,2773,2764,3,6,99.6754
2020-02-10,2905,132,2773,2764,3,6,99.6754
2020-02-11,2905,132,2773,2764,3,6,99.6754
2020-02-12,2905,132,2773,2763,4,6,99.6394
2020-02-13,2905,132,2773,2763,4,6,99.6394
2020-02-14,2905,132,2773,2764,3,6,99.6754
2020-02-17,2905,132,2773,2764,3,6,99.6754
2020-02-18,2905,132,2773,2763,4,6,99.6394
2020-02-19,2905,132,2773,2764,3,6,99.6754
2020-02-20,2905,132,2773,2764,3,6,99.6754
2020-02-21,2905,132,2773,2764,3,6,99.6754
2020-02-24,2906,132,2774,2765,3,6,99.6756
2020-02-25,2906,132,2774,2765,3,6,99.6756
2020-02-26,2907,132,2775,2766,3,6,99.6757
2020-02-27,2907,131,2776,2765,5,6,99.6037
2020-02-28,2907,132,2775,2765,4,6,99.6396
2020-03-02,2908,132,2776,2764,6,6,99.5677
2020-03-03,2908,131,2777,2764,7,6,99.5319
2020-03-04,2908,130,2778,2762,10,6,99.424
2020-03-05,2908,129,2779,2765,8,6,99.4962
2020-03-06,2909,129,2780,2765,9,6,99.4604
2020-03-09,2909,129,2780,2764,10,6,99.4245
2020-03-10,2910,129,2781,2765,10,6,99.4247
2020-03-11,2910,129,2781,2763,12,6,99.3528
2020-03-12,2910,129,2781,2761,14,6,99.2808
2020-03-13,2910,129,2781,2761,14,6,99.2808
2020-03-16,2910,129,2781,2761,14,6,99.2808
2020-03-17,2911,129,2782,2762,14,6,99.2811
2020-03-18,2911,129,2782,2762,14,6,99.2811
2020-03-19,2911,130,2781,2763,12,6,99.3528
2020-03-20,2911,129,2782,2765,11,6,99.3889
2020-03-23,2912,130,2782,2767,9,6,99.4608
2020-03-24,2912,130,2782,2766,10,6,99.4249
2020-03-25,2912,130,2782,2765,11,6,99.3889
2020-03-26,2912,130,2782,2767,9,6,99.4608
2020-03-27,2912,130,2782,2768,8,6,99.4968
2020-03-30,2912,130,2782,2766,10,6,99.4249
2020-03-31,2912,131,2781,2764,11,6,99.3887
2020-04-01,2912,133,2779,2764,9,6,99.4602
2020-04-02,2912,133,2779,2764,9,6,99.4602
2020-04-03,2912,133,2779,2764,9,6,99.4602
2020-04-07,2913,133,2780,2763,10,7,99.3885
2020-04-08,2914,131,2783,2766,10,7,99.3891
2020-04-09,2914,132,2782,2766,9,7,99.4249
2020-04-10,2914,131,2783,2766,11,6,99.3891
2020-04-13,2914,130,2784,2767,11,6,99.3894
2020-04-14,2914,129,2785,2769,10,6,99.4255
2020-04-15,2916,130,2786,2766,14,6,99.2821
2020-04-16,2916,131,2785,2770,9,6,99.4614
2020-04-17,2918,131,2787,2773,8,6,99.4977
2020-04-20,2918,127,2791,2772,13,6,99.3192
2020-04-21,2919,128,2791,2772,13,6,99.3192
2020-04-22,2920,131,2789,2770,13,6,99.3188
2020-04-23,2920,132,2788,2771,11,6,99.3902
2020-04-24,2921,132,2789,2769,14,6,99.2829
2020-04-27,2921,135,2786,2765,15,6,99.2462
2020-04-28,2923,135,2788,2757,25,6,98.8881
2020-04-29,2925,139,2786,2744,36,6,98.4925
2020-04-30,2926,151,2775,2719,50,6,97.982
2020-05-06,2926,183,2743,2716,21,6,99.0157
2020-05-07,2927,184,2743,2718,19,6,99.0886
2020-05-08,2927,182,2745,2720,19,6,99.0893
2020-05-11,2927,184,2743,2718,19,6,99.0886
2020-05-12,2927,182,2745,2718,21,6,99.0164
2020-05-13,2927,184,2743,2719,18,6,99.125
2020-05-14,2927,184,2743,2721,16,6,99.198
2020-05-15,2927,184,2743,2722,13,8,99.2344
2020-05-18,2928,184,2744,2720,16,8,99.1254
2020-05-19,2929,184,2745,2720,17,8,99.0893
2020-05-20,2929,183,2746,2721,17,8,99.0896
2020-05-21,2929,184,2745,2720,17,8,99.0893
2020-05-22,2930,184,2746,2722,15,9,99.126
2020-05-25,2931,183,2748,2722,17,9,99.0539
2020-05-26,2932,183,2749,2722,18,9,99.0178
2020-05-27,2932,183,2749,2717,23,9,98.8359
2020-05-28,2933,181,2752,2722,21,9,98.9099
2020-05-29,2933,181,2752,2723,18,11,98.9462
2020-06-01,2934,182,2752,2720,22,10,98.8372
2020-06-02,2935,184,2751,2721,19,11,98.9095
2020-06-03,2935,182,2753,2724,19,10,98.9466
2020-06-04,2935,181,2754,2725,19,10,98.947
2020-06-05,2936,180,2756,2725,21,10,98.8752
2020-06-08,2937,176,2761,2731,20,10,98.9134
2020-06-09,2937,180,2757,2731,16,10,99.0569
2020-06-10,2938,179,2759,2730,19,10,98.9489
2020-06-11,2938,178,2760,2730,20,10,98.913
2020-06-12,2938,180,2758,2728,20,10,98.9123
2020-06-15,2938,182,2756,2729,17,10,99.0203
2020-06-16,2938,183,2755,2730,15,10,99.0926
2020-06-17,2938,182,2756,2729,17,10,99.0203
2020-06-18,2939,182,2757,2730,17,10,99.0207
2020-06-19,2939,183,2756,2729,17,10,99.0203
2020-06-22,2939,183,2756,2728,18,10,98.984
2020-06-23,2939,183,2756,2726,20,10,98.9115
2020-06-24,2939,186,2753,2722,21,10,98.874
2020-06-29,2941,190,2751,2724,17,10,99.0185
2020-06-30,2941,188,2753,2718,25,10,98.7287
2020-07-01,2941,196,2745,2720,15,10,99.0893
2020-07-02,2941,197,2744,2720,13,11,99.1254
2020-07-03,2940,197,2743,2720,13,10,99.1615
2020-07-06,2940,197,2743,2719,13,11,99.125
2020-07-07,2940,196,2744,2717,16,11,99.016
2020-07-08,2940,197,2743,2719,13,11,99.125
2020-07-09,2940,197,2743,2719,12,12,99.125
2020-07-10,2941,196,2745,2721,11,13,99.1257
2020-07-13,2941,197,2744,2719,12,13,99.0889
2020-07-14,2941,197,2744,2720,11,13,99.1254
2020-07-15,2941,197,2744,2717,13,14,99.016
2020-07-16,2941,195,2746,2719,14,13,99.0168
2020-07-17,2941,196,2745,2719,12,14,99.0528
2020-07-20,2941,196,2745,2717,13,15,98.98
2020-07-21,2940,195,2745,2720,11,14,99.0893
2020-07-22,2940,194,2746,2719,13,14,99.0168
2020-07-23,2940,193,2747,2720,13,14,99.0171
2020-07-24,2940,194,2746,2720,12,14,99.0532
2020-07-27,2940,195,2745,2719,12,14,99.0528
2020-07-28,2941,195,2746,2719,13,14,99.0168
2020-07-29,2941,195,2746,2721,11,14,99.0896
2020-07-30,2943,196,2747,2723,10,14,99.1263
2020-07-31,2946,196,2750,2726,10,14,99.1273
